LoanID,LoanAmount,ScheduledRepayment
120,70000.0,3230.14
121,99000.0,4568.35
122,109000.0,5029.8
123,46000.0,2122.67
124,24000.0,1107.48
125,37000.0,1707.36
126,58000.0,2676.41
127,100000.0,4614.49
128,105000.0,4845.22
129,13000.0,599.88
130,67000.0,3091.71
131,57000.0,2630.26
132,36000.0,1661.22
133,25000.0,1153.62
134,48000.0,2214.96
135,114000.0,5260.52
136,47000.0,2168.81
137,68000.0,3137.85
138,88000.0,4060.75
139,51000.0,2353.39
140,117000.0,5398.96
141,116000.0,5352.81
142,39000.0,1799.65
143,66000.0,3045.57
144,44000.0,2030.38
145,43000.0,1984.23
146,16000.0,738.32
147,78000.0,3599.3
148,66000.0,3045.57
149,18000.0,830.61
150,42000.0,1938.09
151,110000.0,5075.94
152,38000.0,1753.51
153,28000.0,1292.06
154,65000.0,2999.42
155,118000.0,5445.1
156,38000.0,1753.51
157,85000.0,3922.32
158,94000.0,4337.62
159,38000.0,1753.51
160,91000.0,4199.19
161,52000.0,2399.54
162,80000.0,3691.59
163,80000.0,3691.59
164,70000.0,3230.14
165,22000.0,1015.19
166,102000.0,4706.78
167,47000.0,2168.81
168,32000.0,1476.64
169,16000.0,738.32
170,76000.0,3507.01
171,85000.0,3922.32
172,14000.0,646.03
173,67000.0,3091.71
174,36000.0,1661.22
175,82000.0,3783.88
176,31000.0,1430.49
177,87000.0,4014.61
178,54000.0,2491.83
179,113000.0,5214.38
180,27000.0,1245.91
181,49000.0,2261.1
182,24000.0,1107.48
183,112000.0,5168.23
184,107000.0,4937.51
185,40000.0,1845.8
186,83000.0,3830.03
187,100000.0,4614.49
188,72000.0,3322.43
189,69000.0,3184.0
190,38000.0,1753.51
191,22000.0,1015.19
192,109000.0,5029.8
193,109000.0,5029.8
194,80000.0,3691.59
195,49000.0,2261.1
196,50000.0,2307.25
197,90000.0,4153.04
198,109000.0,5029.8
199,108000.0,4983.65
200,96000.0,4429.91
201,81000.0,3737.74
202,21000.0,969.04
203,29000.0,1338.2
204,109000.0,5029.8
205,77000.0,3553.16
206,13000.0,599.88
207,23000.0,1061.33
208,84000.0,3876.17
209,13000.0,599.88
210,29000.0,1338.2
211,71000.0,3276.29
212,87000.0,4014.61
213,82000.0,3783.88
214,36000.0,1661.22
215,89000.0,4106.9
216,38000.0,1753.51
217,47000.0,2168.81
218,93000.0,4291.48
219,82000.0,3783.88
220,104000.0,4799.07
221,83000.0,3830.03
222,73000.0,3368.58
223,22000.0,1015.19
224,52000.0,2399.54
225,41000.0,1891.94
226,38000.0,1753.51
227,117000.0,5398.96
228,54000.0,2491.83
229,108000.0,4983.65
230,80000.0,3691.59
231,98000.0,4522.2
232,66000.0,3045.57
233,74000.0,3414.72
234,65000.0,2999.42
235,33000.0,1522.78
236,90000.0,4153.04
237,42000.0,1938.09
238,15000.0,692.17
239,82000.0,3783.88
240,31000.0,1430.49
241,114000.0,5260.52
242,115000.0,5306.67
243,111000.0,5122.09
244,52000.0,2399.54
245,14000.0,646.03
246,112000.0,5168.23
247,58000.0,2676.41
248,116000.0,5352.81
249,116000.0,5352.81
250,104000.0,4799.07
251,44000.0,2030.38
252,54000.0,2491.83
253,104000.0,4799.07
254,46000.0,2122.67
255,30000.0,1384.35
256,72000.0,3322.43
257,113000.0,5214.38
258,87000.0,4014.61
259,74000.0,3414.72
260,22000.0,1015.19
261,78000.0,3599.3
262,119000.0,5491.25
263,27000.0,1245.91
264,68000.0,3137.85
265,107000.0,4937.51
266,92000.0,4245.33
267,87000.0,4014.61
268,88000.0,4060.75
269,51000.0,2353.39
270,44000.0,2030.38
271,99000.0,4568.35
272,99000.0,4568.35
273,106000.0,4891.36
274,111000.0,5122.09
275,67000.0,3091.71
276,66000.0,3045.57
277,98000.0,4522.2
278,82000.0,3783.88
279,88000.0,4060.75
280,98000.0,4522.2
281,108000.0,4983.65
282,49000.0,2261.1
283,53000.0,2445.68
284,22000.0,1015.19
285,74000.0,3414.72
286,16000.0,738.32
287,62000.0,2860.99
288,71000.0,3276.29
289,43000.0,1984.23
290,76000.0,3507.01
291,15000.0,692.17
292,16000.0,738.32
293,101000.0,4660.64
294,51000.0,2353.39
295,26000.0,1199.77
296,68000.0,3137.85
297,95000.0,4383.77
298,35000.0,1615.07
299,79000.0,3645.45
300,21000.0,969.04
301,18000.0,830.61
302,69000.0,3184.0
303,70000.0,3230.14
304,81000.0,3737.74
305,90000.0,4153.04
306,117000.0,5398.96
307,68000.0,3137.85
308,47000.0,2168.81
309,98000.0,4522.2
310,41000.0,1891.94
311,59000.0,2722.55
312,20000.0,922.9
313,15000.0,692.17
314,116000.0,5352.81
315,102000.0,4706.78
316,87000.0,4014.61
317,56000.0,2584.12
318,31000.0,1430.49
319,29000.0,1338.2
320,39000.0,1799.65
321,71000.0,3276.29
322,89000.0,4106.9
323,83000.0,3830.03
324,42000.0,1938.09
325,115000.0,5306.67
326,92000.0,4245.33
327,72000.0,3322.43
328,78000.0,3599.3
329,57000.0,2630.26
330,39000.0,1799.65
331,50000.0,2307.25
332,94000.0,4337.62
333,14000.0,646.03
334,25000.0,1153.62
335,17000.0,784.46
336,16000.0,738.32
337,104000.0,4799.07
338,88000.0,4060.75
339,63000.0,2907.13
340,23000.0,1061.33
341,65000.0,2999.42
342,63000.0,2907.13
343,31000.0,1430.49
344,59000.0,2722.55
345,55000.0,2537.97
346,79000.0,3645.45
347,81000.0,3737.74
348,17000.0,784.46
349,52000.0,2399.54
350,80000.0,3691.59
351,66000.0,3045.57
352,105000.0,4845.22
353,83000.0,3830.03
354,30000.0,1384.35
355,20000.0,922.9
356,81000.0,3737.74
357,15000.0,692.17
358,75000.0,3460.87
359,114000.0,5260.52
360,74000.0,3414.72
361,54000.0,2491.83
362,81000.0,3737.74
363,61000.0,2814.84
364,71000.0,3276.29
365,114000.0,5260.52
366,54000.0,2491.83
367,116000.0,5352.81
368,110000.0,5075.94
369,33000.0,1522.78
370,19000.0,876.75
371,23000.0,1061.33
372,14000.0,646.03
373,22000.0,1015.19
374,86000.0,3968.46
375,20000.0,922.9
376,46000.0,2122.67
377,103000.0,4752.93
378,15000.0,692.17
379,100000.0,4614.49
380,42000.0,1938.09
381,25000.0,1153.62
382,87000.0,4014.61
383,80000.0,3691.59
384,107000.0,4937.51
385,91000.0,4199.19
386,99000.0,4568.35
387,42000.0,1938.09
388,31000.0,1430.49
389,93000.0,4291.48
390,99000.0,4568.35
391,119000.0,5491.25
392,57000.0,2630.26
393,52000.0,2399.54
394,96000.0,4429.91
395,49000.0,2261.1
396,113000.0,5214.38
397,105000.0,4845.22
398,58000.0,2676.41
399,93000.0,4291.48
400,93000.0,4291.48
401,23000.0,1061.33
402,109000.0,5029.8
403,67000.0,3091.71
404,101000.0,4660.64
405,47000.0,2168.81
406,109000.0,5029.8
407,54000.0,2491.83
408,13000.0,599.88
409,110000.0,5075.94
410,22000.0,1015.19
411,46000.0,2122.67
412,115000.0,5306.67
413,115000.0,5306.67
414,74000.0,3414.72
415,80000.0,3691.59
416,60000.0,2768.7
417,44000.0,2030.38
418,47000.0,2168.81
419,85000.0,3922.32
420,93000.0,4291.48
421,97000.0,4476.06
422,97000.0,4476.06
423,22000.0,1015.19
424,65000.0,2999.42
425,18000.0,830.61
426,71000.0,3276.29
427,60000.0,2768.7
428,108000.0,4983.65
429,50000.0,2307.25
430,25000.0,1153.62
431,27000.0,1245.91
432,94000.0,4337.62
433,79000.0,3645.45
434,23000.0,1061.33
435,21000.0,969.04
436,88000.0,4060.75
437,20000.0,922.9
438,101000.0,4660.64
439,88000.0,4060.75
440,21000.0,969.04
441,21000.0,969.04
442,119000.0,5491.25
443,52000.0,2399.54
444,52000.0,2399.54
445,100000.0,4614.49
446,114000.0,5260.52
447,118000.0,5445.1
448,93000.0,4291.48
449,53000.0,2445.68
450,21000.0,969.04
451,96000.0,4429.91
452,72000.0,3322.43
453,58000.0,2676.41
454,110000.0,5075.94
455,24000.0,1107.48
456,65000.0,2999.42
457,13000.0,599.88
458,63000.0,2907.13
459,18000.0,830.61
460,25000.0,1153.62
461,25000.0,1153.62
462,82000.0,3783.88
463,93000.0,4291.48
464,75000.0,3460.87
465,116000.0,5352.81
466,52000.0,2399.54
467,43000.0,1984.23
468,106000.0,4891.36
469,36000.0,1661.22
470,116000.0,5352.81
471,13000.0,599.88
472,117000.0,5398.96
473,17000.0,784.46
474,108000.0,4983.65
475,69000.0,3184.0
476,119000.0,5491.25
477,20000.0,922.9
478,72000.0,3322.43
479,117000.0,5398.96
480,68000.0,3137.85
481,80000.0,3691.59
482,87000.0,4014.61
483,61000.0,2814.84
484,80000.0,3691.59
485,75000.0,3460.87
486,109000.0,5029.8
487,17000.0,784.46
488,42000.0,1938.09
489,115000.0,5306.67
490,108000.0,4983.65
491,61000.0,2814.84
492,79000.0,3645.45
493,42000.0,1938.09
494,32000.0,1476.64
495,62000.0,2860.99
496,50000.0,2307.25
497,75000.0,3460.87
498,20000.0,922.9
499,117000.0,5398.96
500,119000.0,5491.25
501,87000.0,4014.61
502,70000.0,3230.14
503,45000.0,2076.52
504,100000.0,4614.49
505,86000.0,3968.46
506,30000.0,1384.35
507,110000.0,5075.94
508,101000.0,4660.64
509,115000.0,5306.67
510,90000.0,4153.04
511,78000.0,3599.3
512,57000.0,2630.26
513,113000.0,5214.38
514,106000.0,4891.36
515,17000.0,784.46
516,15000.0,692.17
517,53000.0,2445.68
518,100000.0,4614.49
519,119000.0,5491.25
520,28000.0,1292.06
521,76000.0,3507.01
522,53000.0,2445.68
523,117000.0,5398.96
524,103000.0,4752.93
525,103000.0,4752.93
526,63000.0,2907.13
527,57000.0,2630.26
528,42000.0,1938.09
529,18000.0,830.61
530,105000.0,4845.22
531,100000.0,4614.49
532,120000.0,5537.39
533,120000.0,5537.39
534,72000.0,3322.43
535,95000.0,4383.77
536,114000.0,5260.52
537,104000.0,4799.07
538,39000.0,1799.65
539,61000.0,2814.84
540,26000.0,1199.77
541,115000.0,5306.67
542,77000.0,3553.16
543,37000.0,1707.36
544,85000.0,3922.32
545,79000.0,3645.45
546,51000.0,2353.39
547,24000.0,1107.48
548,85000.0,3922.32
549,68000.0,3137.85
550,95000.0,4383.77
551,68000.0,3137.85
552,104000.0,4799.07
553,72000.0,3322.43
554,73000.0,3368.58
555,107000.0,4937.51
556,56000.0,2584.12
557,26000.0,1199.77
558,15000.0,692.17
559,94000.0,4337.62
560,79000.0,3645.45
561,88000.0,4060.75
562,35000.0,1615.07
563,27000.0,1245.91
564,14000.0,646.03
565,50000.0,2307.25
566,76000.0,3507.01
567,54000.0,2491.83
568,59000.0,2722.55
569,110000.0,5075.94
570,50000.0,2307.25
571,68000.0,3137.85
572,97000.0,4476.06
573,55000.0,2537.97
574,79000.0,3645.45
575,105000.0,4845.22
576,115000.0,5306.67
577,28000.0,1292.06
578,112000.0,5168.23
579,65000.0,2999.42
580,40000.0,1845.8
581,62000.0,2860.99
582,118000.0,5445.1
583,65000.0,2999.42
584,48000.0,2214.96
585,80000.0,3691.59
586,38000.0,1753.51
587,20000.0,922.9
588,26000.0,1199.77
589,26000.0,1199.77
590,28000.0,1292.06
591,27000.0,1245.91
592,81000.0,3737.74
593,32000.0,1476.64
594,49000.0,2261.1
595,109000.0,5029.8
596,63000.0,2907.13
597,84000.0,3876.17
598,31000.0,1430.49
599,33000.0,1522.78
600,16000.0,738.32
601,30000.0,1384.35
602,42000.0,1938.09
603,31000.0,1430.49
604,22000.0,1015.19
605,25000.0,1153.62
606,62000.0,2860.99
607,34000.0,1568.93
608,51000.0,2353.39
609,66000.0,3045.57
610,87000.0,4014.61
611,16000.0,738.32
612,98000.0,4522.2
613,80000.0,3691.59
614,21000.0,969.04
615,106000.0,4891.36
616,111000.0,5122.09
617,19000.0,876.75
618,42000.0,1938.09
619,99000.0,4568.35
620,93000.0,4291.48
621,32000.0,1476.64
622,35000.0,1615.07
623,52000.0,2399.54
624,64000.0,2953.28
625,79000.0,3645.45
626,52000.0,2399.54
627,62000.0,2860.99
628,93000.0,4291.48
629,16000.0,738.32
630,39000.0,1799.65
631,89000.0,4106.9
632,109000.0,5029.8
633,67000.0,3091.71
634,69000.0,3184.0
635,24000.0,1107.48
636,60000.0,2768.7
637,70000.0,3230.14
638,38000.0,1753.51
639,41000.0,1891.94
640,53000.0,2445.68
641,14000.0,646.03
642,47000.0,2168.81
643,35000.0,1615.07
644,47000.0,2168.81
645,25000.0,1153.62
646,108000.0,4983.65
647,76000.0,3507.01
648,85000.0,3922.32
649,97000.0,4476.06
650,66000.0,3045.57
651,21000.0,969.04
652,70000.0,3230.14
653,75000.0,3460.87
654,93000.0,4291.48
655,59000.0,2722.55
656,26000.0,1199.77
657,43000.0,1984.23
658,51000.0,2353.39
659,82000.0,3783.88
660,74000.0,3414.72
661,50000.0,2307.25
662,119000.0,5491.25
663,77000.0,3553.16
664,38000.0,1753.51
665,23000.0,1061.33
666,29000.0,1338.2
667,39000.0,1799.65
668,29000.0,1338.2
669,32000.0,1476.64
670,43000.0,1984.23
671,31000.0,1430.49
672,109000.0,5029.8
673,21000.0,969.04
674,69000.0,3184.0
675,56000.0,2584.12
676,118000.0,5445.1
677,24000.0,1107.48
678,55000.0,2537.97
679,117000.0,5398.96
680,105000.0,4845.22
681,100000.0,4614.49
682,40000.0,1845.8
683,30000.0,1384.35
684,84000.0,3876.17
685,112000.0,5168.23
686,72000.0,3322.43
687,74000.0,3414.72
688,42000.0,1938.09
689,95000.0,4383.77
690,32000.0,1476.64
691,47000.0,2168.81
692,58000.0,2676.41
693,67000.0,3091.71
694,38000.0,1753.51
695,24000.0,1107.48
696,78000.0,3599.3
697,43000.0,1984.23
698,75000.0,3460.87
699,29000.0,1338.2
700,64000.0,2953.28
701,70000.0,3230.14
702,18000.0,830.61
703,48000.0,2214.96
704,27000.0,1245.91
705,19000.0,876.75
706,119000.0,5491.25
707,47000.0,2168.81
708,99000.0,4568.35
709,40000.0,1845.8
710,86000.0,3968.46
711,94000.0,4337.62
712,76000.0,3507.01
713,63000.0,2907.13
714,56000.0,2584.12
715,50000.0,2307.25
716,112000.0,5168.23
717,102000.0,4706.78
718,116000.0,5352.81
719,25000.0,1153.62
720,91000.0,4199.19
721,113000.0,5214.38
722,32000.0,1476.64
723,19000.0,876.75
724,92000.0,4245.33
725,74000.0,3414.72
726,103000.0,4752.93
727,27000.0,1245.91
728,98000.0,4522.2
729,34000.0,1568.93
730,30000.0,1384.35
731,30000.0,1384.35
732,100000.0,4614.49
733,84000.0,3876.17
734,68000.0,3137.85
735,51000.0,2353.39
736,107000.0,4937.51
737,54000.0,2491.83
738,100000.0,4614.49
739,59000.0,2722.55
740,53000.0,2445.68
741,62000.0,2860.99
742,45000.0,2076.52
743,93000.0,4291.48
744,66000.0,3045.57
745,37000.0,1707.36
746,109000.0,5029.8
747,53000.0,2445.68
748,71000.0,3276.29
749,110000.0,5075.94
750,79000.0,3645.45
751,25000.0,1153.62
752,114000.0,5260.52
753,80000.0,3691.59
754,48000.0,2214.96
755,27000.0,1245.91
756,98000.0,4522.2
757,79000.0,3645.45
758,70000.0,3230.14
759,109000.0,5029.8
760,97000.0,4476.06
761,28000.0,1292.06
762,46000.0,2122.67
763,39000.0,1799.65
764,92000.0,4245.33
765,16000.0,738.32
766,74000.0,3414.72
767,94000.0,4337.62
768,107000.0,4937.51
769,49000.0,2261.1
770,101000.0,4660.64
771,24000.0,1107.48
772,103000.0,4752.93
773,26000.0,1199.77
774,55000.0,2537.97
775,98000.0,4522.2
776,28000.0,1292.06
777,37000.0,1707.36
778,90000.0,4153.04
779,90000.0,4153.04
780,81000.0,3737.74
781,87000.0,4014.61
782,71000.0,3276.29
783,39000.0,1799.65
784,49000.0,2261.1
785,32000.0,1476.64
786,110000.0,5075.94
787,75000.0,3460.87
788,55000.0,2537.97
789,62000.0,2860.99
790,114000.0,5260.52
791,29000.0,1338.2
792,75000.0,3460.87
793,67000.0,3091.71
794,78000.0,3599.3
795,14000.0,646.03
796,106000.0,4891.36
797,113000.0,5214.38
798,73000.0,3368.58
799,87000.0,4014.61
800,112000.0,5168.23
801,88000.0,4060.75
802,28000.0,1292.06
803,74000.0,3414.72
804,78000.0,3599.3
805,58000.0,2676.41
806,92000.0,4245.33
807,113000.0,5214.38
808,112000.0,5168.23
809,61000.0,2814.84
810,24000.0,1107.48
811,118000.0,5445.1
812,103000.0,4752.93
813,25000.0,1153.62
814,111000.0,5122.09
815,106000.0,4891.36
816,68000.0,3137.85
817,76000.0,3507.01
818,55000.0,2537.97
819,18000.0,830.61
820,48000.0,2214.96
821,99000.0,4568.35
822,13000.0,599.88
823,48000.0,2214.96
824,55000.0,2537.97
825,70000.0,3230.14
826,111000.0,5122.09
827,49000.0,2261.1
828,49000.0,2261.1
829,92000.0,4245.33
830,61000.0,2814.84
831,36000.0,1661.22
832,61000.0,2814.84
833,27000.0,1245.91
834,31000.0,1430.49
835,66000.0,3045.57
836,57000.0,2630.26
837,111000.0,5122.09
838,51000.0,2353.39
839,75000.0,3460.87
840,80000.0,3691.59
841,13000.0,599.88
842,84000.0,3876.17
843,31000.0,1430.49
844,116000.0,5352.81
845,28000.0,1292.06
846,57000.0,2630.26
847,21000.0,969.04
848,120000.0,5537.39
849,66000.0,3045.57
850,76000.0,3507.01
851,19000.0,876.75
852,93000.0,4291.48
853,35000.0,1615.07
854,109000.0,5029.8
855,34000.0,1568.93
856,33000.0,1522.78
857,16000.0,738.32
858,63000.0,2907.13
859,73000.0,3368.58
860,19000.0,876.75
861,96000.0,4429.91
862,61000.0,2814.84
863,69000.0,3184.0
864,60000.0,2768.7
865,55000.0,2537.97
866,72000.0,3322.43
867,29000.0,1338.2
868,32000.0,1476.64
869,105000.0,4845.22
870,114000.0,5260.52
871,52000.0,2399.54
872,41000.0,1891.94
873,82000.0,3783.88
874,56000.0,2584.12
875,15000.0,692.17
876,29000.0,1338.2
877,89000.0,4106.9
878,83000.0,3830.03
879,15000.0,692.17
880,36000.0,1661.22
881,37000.0,1707.36
882,85000.0,3922.32
883,14000.0,646.03
884,23000.0,1061.33
885,98000.0,4522.2
886,31000.0,1430.49
887,82000.0,3783.88
888,38000.0,1753.51
889,23000.0,1061.33
890,38000.0,1753.51
891,90000.0,4153.04
892,104000.0,4799.07
893,102000.0,4706.78
894,55000.0,2537.97
895,84000.0,3876.17
896,34000.0,1568.93
897,44000.0,2030.38
898,109000.0,5029.8
899,13000.0,599.88
900,21000.0,969.04
901,34000.0,1568.93
902,15000.0,692.17
903,32000.0,1476.64
904,75000.0,3460.87
905,58000.0,2676.41
906,108000.0,4983.65
907,100000.0,4614.49
908,49000.0,2261.1
909,40000.0,1845.8
910,53000.0,2445.68
911,76000.0,3507.01
912,41000.0,1891.94
913,79000.0,3645.45
914,56000.0,2584.12
915,72000.0,3322.43
916,59000.0,2722.55
917,44000.0,2030.38
918,114000.0,5260.52
919,94000.0,4337.62
920,27000.0,1245.91
921,106000.0,4891.36
922,65000.0,2999.42
923,109000.0,5029.8
924,98000.0,4522.2
925,58000.0,2676.41
926,14000.0,646.03
927,41000.0,1891.94
928,70000.0,3230.14
929,80000.0,3691.59
930,40000.0,1845.8
931,27000.0,1245.91
932,102000.0,4706.78
933,118000.0,5445.1
934,69000.0,3184.0
935,31000.0,1430.49
936,41000.0,1891.94
937,14000.0,646.03
938,111000.0,5122.09
939,25000.0,1153.62
940,74000.0,3414.72
941,42000.0,1938.09
942,72000.0,3322.43
943,82000.0,3783.88
944,102000.0,4706.78
945,34000.0,1568.93
946,13000.0,599.88
947,27000.0,1245.91
948,109000.0,5029.8
949,106000.0,4891.36
950,77000.0,3553.16
951,77000.0,3553.16
952,84000.0,3876.17
953,31000.0,1430.49
954,111000.0,5122.09
955,57000.0,2630.26
956,53000.0,2445.68
957,68000.0,3137.85
958,17000.0,784.46
959,30000.0,1384.35
960,92000.0,4245.33
961,21000.0,969.04
962,77000.0,3553.16
963,38000.0,1753.51
964,54000.0,2491.83
965,43000.0,1984.23
966,50000.0,2307.25
967,90000.0,4153.04
968,44000.0,2030.38
969,73000.0,3368.58
970,63000.0,2907.13
971,84000.0,3876.17
972,113000.0,5214.38
973,91000.0,4199.19
974,35000.0,1615.07
975,15000.0,692.17
976,40000.0,1845.8
977,76000.0,3507.01
978,18000.0,830.61
979,66000.0,3045.57
980,76000.0,3507.01
981,48000.0,2214.96
982,95000.0,4383.77
983,24000.0,1107.48
984,20000.0,922.9
985,91000.0,4199.19
986,66000.0,3045.57
987,86000.0,3968.46
988,59000.0,2722.55
989,39000.0,1799.65
990,100000.0,4614.49
991,98000.0,4522.2
992,87000.0,4014.61
993,41000.0,1891.94
994,76000.0,3507.01
995,51000.0,2353.39
996,22000.0,1015.19
997,111000.0,5122.09
998,27000.0,1245.91
999,115000.0,5306.67
1000,60000.0,2768.7

