CustomerID,LoanAmount,LoanTerm,InterestRate,ApprovalStatus
60,17922,48,6.64,Approved
61,10836,12,5.63,Approved
62,25667,12,7.56,Rejected
63,25750,12,4.58,Rejected
64,25106,24,5.16,Rejected
65,11453,48,4.79,Approved
66,18718,60,4.69,Approved
67,12910,48,5.72,Approved
68,10505,12,7.61,Approved
69,29006,36,4.55,Rejected
70,29607,60,5.18,Approved
71,16784,12,8.03,Approved
72,11839,48,7.41,Approved
73,19548,48,4.59,Rejected
74,9310,24,6.77,Rejected
75,22837,36,5.46,Approved
76,10120,24,7.31,Approved
77,27624,48,6.87,Approved
78,19101,24,4.9,Rejected
79,18235,36,7.13,Approved
80,18038,24,5.8,Approved
81,26845,12,6.6,Rejected
82,13081,24,5.41,Rejected
83,24720,36,4.97,Rejected
84,11662,24,5.73,Rejected
85,20590,60,5.24,Approved
86,13020,48,7.95,Rejected
281,28853,12,5.5,Approved
87,11258,36,5.37,Rejected
88,13324,60,5.13,Rejected
9,20418,48,6.86,Rejected
89,13305,36,5.67,Rejected
90,16577,12,7.54,Rejected
91,8045,48,6.19,Rejected
92,24999,48,4.46,Approved
93,25464,36,7.59,Rejected
94,18869,48,4.27,Approved
95,21300,60,6.81,Approved
96,10514,24,7.07,Approved
97,27743,24,6.63,Rejected
98,14888,48,5.42,Approved
99,29976,12,6.99,Approved
100,16260,48,8.2,Approved
101,12139,36,4.58,Approved
102,27787,36,5.97,Rejected
103,9768,36,6.97,Approved
104,29634,48,5.43,Approved
105,27919,48,7.31,Approved
106,9699,36,6.32,Approved
107,22818,24,7.81,Rejected
108,19478,36,7.81,Rejected
109,25883,48,8.02,Approved
110,28049,48,4.76,Rejected
111,14243,24,4.42,Approved
112,25722,36,6.89,Rejected
113,23643,12,6.38,Rejected
114,25559,60,4.65,Approved
115,21741,24,7.13,Rejected
116,18445,60,4.69,Approved
117,19573,12,7.97,Approved
118,14956,60,6.12,Rejected
119,18269,24,7.26,Rejected
120,29596,36,7.39,Approved
121,13515,48,7.11,Rejected
122,10530,12,8.14,Rejected
123,21429,24,7.51,Approved
124,10201,12,6.66,Rejected
125,16386,48,8.34,Approved
126,10269,60,8.34,Approved
127,27974,60,7.26,Rejected
128,29699,24,6.66,Rejected
129,18812,24,7.32,Rejected
130,14947,24,5.75,Rejected
131,24188,12,5.46,Rejected
132,8950,24,5.52,Rejected
133,10970,24,7.93,Rejected
134,16426,24,7.35,Rejected
135,17431,60,5.66,Rejected
136,18441,36,5.23,Approved
137,11481,60,4.35,Approved
138,18175,60,4.53,Rejected
139,29205,24,4.6,Approved
140,14139,60,4.52,Rejected
141,26341,48,4.38,Rejected
142,26968,12,6.93,Approved
143,13192,60,7.96,Rejected
144,11084,48,4.87,Approved
145,17752,12,4.28,Approved
146,18100,12,7.34,Rejected
147,23718,24,6.12,Approved
148,20153,48,5.95,Rejected
149,13986,60,8.4,Rejected
150,23392,48,5.21,Rejected
151,29491,24,8.14,Rejected
152,27141,48,6.77,Rejected
153,20124,60,4.39,Rejected
154,29656,48,5.9,Rejected
155,13237,48,5.72,Rejected
156,12810,48,5.32,Rejected
157,26590,36,6.37,Rejected
158,19906,24,7.4,Rejected
159,26905,36,7.12,Approved
160,19848,24,7.55,Rejected
161,16841,48,5.87,Approved
162,27106,12,5.54,Rejected
163,24211,12,6.36,Rejected
164,18409,48,6.65,Rejected
165,27550,12,6.63,Approved
166,26366,24,4.03,Approved
167,21361,24,5.85,Rejected
168,10995,12,4.46,Rejected
169,29273,48,5.63,Approved
170,29361,12,6.36,Approved
171,24395,48,6.59,Approved
172,20245,36,6.43,Rejected
173,16950,24,5.46,Rejected
174,19766,12,4.48,Approved
175,15846,48,4.02,Rejected
176,20121,60,5.21,Approved
177,21005,60,7.01,Approved
178,11212,60,7.39,Approved
179,17525,24,6.25,Rejected
180,29133,24,4.78,Rejected
181,10803,12,4.13,Rejected
182,16098,24,4.76,Approved
183,25824,48,6.95,Approved
184,24465,36,4.75,Rejected
185,13822,12,4.65,Rejected
186,27930,48,8.03,Rejected
187,19505,36,5.23,Approved
188,29701,48,8.17,Approved
189,13393,24,6.6,Approved
190,14181,48,6.75,Rejected
191,22781,12,5.77,Rejected
192,23707,12,7.41,Rejected
193,25433,12,4.25,Approved
194,12093,24,4.92,Approved
195,22489,36,5.1,Rejected
196,9286,12,4.44,Rejected
197,11592,60,7.49,Rejected
198,20674,12,4.55,Rejected
199,13589,24,6.5,Rejected
200,20930,48,8.22,Approved
201,18541,24,5.63,Approved
202,12047,24,5.24,Approved
203,14241,24,4.5,Approved
204,20518,60,4.15,Approved
205,9341,60,5.96,Rejected
206,17221,12,4.57,Approved
207,29074,12,8.49,Approved
208,28933,12,4.67,Approved
209,19771,60,4.45,Rejected
210,10081,24,4.38,Rejected
211,17781,48,4.8,Rejected
212,25134,48,4.76,Approved
213,12823,12,4.74,Rejected
214,13174,60,7.61,Approved
215,16104,60,5.2,Rejected
216,11535,48,8.48,Approved
217,21931,24,7.09,Rejected
218,26665,36,7.68,Rejected
219,24645,12,5.49,Rejected
220,21539,24,4.31,Approved
221,12537,36,7.35,Approved
222,24244,24,4.33,Approved
223,13515,48,6.99,Approved
224,11327,60,7.87,Approved
225,28438,48,6.87,Rejected
226,25285,12,7.15,Approved
227,26468,36,6.3,Approved
228,21780,60,8.46,Rejected
229,20783,12,4.15,Approved
230,16542,24,8.25,Rejected
231,16315,12,7.17,Approved
232,28494,24,4.57,Approved
233,11265,12,6.86,Approved
234,25538,60,5.13,Approved
235,27708,24,5.56,Rejected
236,27296,60,4.19,Approved
237,28095,36,7.25,Approved
238,20374,60,4.68,Rejected
239,29047,12,5.62,Rejected
240,26183,60,6.14,Approved
241,9734,36,6.92,Rejected
242,28710,36,4.73,Rejected
243,16689,60,8.32,Approved
244,27810,36,4.99,Approved
245,9782,24,8.12,Approved
246,27160,60,4.33,Rejected
247,28473,24,7.58,Approved
248,15777,36,5.34,Rejected
249,16659,12,8.4,Approved
250,24691,60,6.82,Rejected
251,20182,60,4.25,Approved
252,10251,60,8.37,Rejected
253,13737,60,4.24,Approved
254,28179,12,5.55,Rejected
255,9464,24,7.47,Rejected
256,28726,12,5.7,Rejected
257,22754,60,4.86,Approved
258,25076,36,6.09,Approved
259,13427,12,7.22,Rejected
888,28615,60,8.49,Approved
260,9227,48,6.77,Rejected
261,13350,12,4.54,Rejected
262,27691,48,6.52,Approved
263,14913,36,5.03,Rejected
264,18679,24,5.74,Rejected
265,9297,24,5.21,Approved
266,11641,12,6.62,Rejected
267,27197,36,7.89,Rejected
268,26077,48,7.34,Rejected
269,18043,24,4.53,Rejected
270,12965,60,7.49,Rejected
271,13916,60,5.13,Approved
272,13175,36,6.53,Approved
273,24906,48,8.48,Approved
274,10912,24,7.31,Approved
275,9566,12,5.62,Approved
276,10945,12,7.04,Approved
277,9276,60,4.98,Rejected
278,27740,36,6.86,Approved
279,9718,12,5.44,Rejected
280,26866,48,6.27,Approved
281,28853,12,5.5,Approved
282,17659,48,7.43,Approved
283,18124,60,4.08,Rejected
284,25228,60,8.5,Rejected
14,19394,36,5.79,Approved
285,13069,48,5.1,Approved
286,13517,60,6.96,Approved
287,11547,60,6.66,Rejected
288,9514,24,6.77,Rejected
289,21868,12,5.94,Approved
290,26718,60,7.88,Approved
291,23857,36,4.69,Approved
292,19257,60,4.88,Rejected
293,10092,36,5.72,Rejected
294,9273,48,6.16,Rejected
295,11929,24,5.28,Rejected
296,18457,24,6.3,Rejected
297,10439,12,6.22,Rejected
298,9556,60,8.13,Rejected
299,11013,48,8.27,Approved
300,17760,60,5.4,Approved
301,11133,12,5.19,Approved
302,9662,12,5.2,Rejected
303,18008,24,5.63,Approved
304,23930,36,4.54,Approved
305,19305,36,4.29,Rejected
306,15438,24,8.19,Approved
307,19162,12,8.15,Approved
308,22841,48,6.85,Rejected
309,11681,12,5.77,Rejected
310,14077,24,6.67,Approved
311,11230,12,6.65,Rejected
312,10341,60,7.0,Rejected
313,29520,12,6.63,Rejected
314,20225,60,6.38,Approved
315,26631,12,8.16,Approved
316,9193,48,7.52,Approved
317,27150,60,5.93,Approved
318,24961,24,6.29,Approved
319,22304,24,6.35,Rejected
320,24371,60,8.49,Rejected
321,29935,12,6.41,Approved
322,27485,12,7.8,Rejected
323,26759,12,7.8,Approved
324,18481,36,6.61,Rejected
325,8250,12,5.48,Approved
326,11141,48,4.3,Approved
327,20796,48,5.45,Approved
328,16435,12,6.44,Rejected
329,24345,60,6.18,Rejected
330,28577,36,6.63,Rejected
331,14991,24,6.09,Rejected
332,20001,24,4.89,Approved
333,11053,12,8.31,Approved
334,19451,24,8.08,Approved
335,19918,12,5.2,Approved
336,8151,60,6.09,Approved
337,8527,24,4.36,Rejected
338,26320,60,5.82,Approved
339,16609,24,7.25,Approved
340,12290,36,4.56,Approved
341,8033,48,7.81,Approved
342,15949,12,4.12,Approved
343,22025,24,4.66,Rejected
344,10175,24,6.43,Approved
345,9068,12,6.87,Rejected
346,24142,48,5.36,Approved
347,22369,48,8.02,Rejected
348,25760,24,7.43,Approved
349,12922,48,5.64,Approved
350,13403,24,6.57,Rejected
351,18288,24,7.12,Rejected
352,18812,24,4.01,Approved
353,24918,60,7.58,Rejected
354,28846,24,4.69,Approved
355,23553,36,8.01,Approved
356,22715,12,5.15,Rejected
357,9155,12,5.44,Approved
358,15538,48,6.92,Approved
359,13680,60,7.87,Rejected
360,24617,12,4.07,Approved
361,23368,12,8.41,Rejected
362,23414,24,5.43,Rejected
363,8057,60,7.79,Approved
364,14742,12,5.18,Approved
365,27154,48,4.72,Approved
366,10745,36,6.79,Rejected
367,25386,36,4.37,Approved
368,18067,48,5.62,Rejected
369,28445,48,6.89,Rejected
370,23874,48,6.54,Rejected
371,24881,36,5.91,Approved
372,11115,36,6.11,Approved
373,26082,60,4.65,Rejected
374,28072,36,4.22,Approved
375,17398,12,5.5,Rejected
376,10699,12,5.21,Approved
377,20497,48,5.49,Rejected
378,29587,24,7.02,Rejected
379,16933,36,4.99,Approved
380,25858,12,7.22,Rejected
381,29185,24,7.19,Approved
382,25300,48,4.06,Approved
383,18609,48,5.8,Rejected
384,29957,24,5.84,Approved
385,10378,36,7.95,Approved
386,21565,36,8.0,Rejected
387,16030,48,4.77,Approved
388,11154,12,6.37,Rejected
389,20950,24,8.0,Approved
687,19475,48,4.45,Approved
390,25149,48,7.03,Rejected
391,28451,60,8.4,Approved
392,21478,36,7.25,Rejected
393,26965,12,4.42,Rejected
394,11388,12,8.33,Rejected
395,16632,24,6.19,Rejected
396,14570,12,6.81,Approved
397,24988,60,7.64,Approved
398,12468,60,6.92,Rejected
399,8713,36,4.92,Rejected
400,24528,48,6.12,Approved
401,8482,48,4.27,Rejected
402,17450,48,6.78,Approved
403,22936,36,6.38,Rejected
404,25157,36,7.56,Rejected
405,14830,48,5.0,Approved
406,12658,48,5.34,Approved
999,21366,24,4.33,Approved
407,15495,48,6.28,Approved
408,29409,36,8.39,Rejected
409,11103,48,6.62,Approved
410,13238,24,7.03,Rejected
411,28651,36,6.63,Rejected
412,21432,36,4.09,Rejected
413,14260,60,6.21,Approved
414,19322,36,4.58,Approved
415,24898,24,6.64,Rejected
416,13155,36,5.05,Rejected
417,21838,36,6.48,Rejected
418,15278,48,6.21,Rejected
419,25387,12,6.32,Rejected
420,19630,36,6.98,Approved
421,11453,24,8.13,Rejected
422,9759,48,6.24,Approved
423,9109,36,8.38,Rejected
424,24521,48,6.47,Approved
425,8306,60,5.55,Rejected
426,17845,36,6.17,Rejected
427,29764,48,5.04,Approved
428,25723,12,5.34,Approved
429,19974,48,7.6,Approved
430,8578,36,4.02,Approved
431,23005,12,4.17,Approved
432,10067,60,8.46,Rejected
433,9764,24,6.95,Rejected
434,10186,12,6.96,Rejected
435,17272,60,4.59,Approved
436,21933,48,5.93,Rejected
437,24236,48,4.8,Rejected
438,12655,12,8.27,Rejected
439,19063,48,4.74,Approved
440,13892,48,5.58,Rejected
441,22616,48,4.21,Rejected
442,14889,48,5.45,Rejected
443,12505,24,8.38,Approved
444,18310,24,4.88,Approved
445,13857,48,6.51,Approved
446,27917,36,5.32,Rejected
447,21205,36,5.41,Rejected
448,21561,12,4.61,Rejected
449,10965,60,6.01,Rejected
450,16289,12,5.05,Approved
451,23988,60,4.07,Approved
452,8553,36,4.43,Approved
453,28876,24,7.63,Approved
454,10582,60,4.53,Rejected
455,27795,12,7.25,Approved
456,19175,48,5.58,Approved
457,29196,48,5.57,Rejected
458,18809,12,4.19,Rejected
459,24341,12,4.14,Approved
460,21163,48,8.26,Approved
461,20394,36,7.63,Rejected
462,8410,60,7.34,Approved
463,12487,48,4.56,Rejected
464,10299,60,6.77,Rejected
465,24373,24,7.6,Rejected
466,24539,60,5.03,Approved
467,27016,36,8.1,Rejected
468,20986,48,7.48,Rejected
469,10395,60,5.52,Approved
470,29791,36,5.47,Approved
471,11547,36,5.22,Rejected
472,22893,60,5.27,Rejected
473,17786,60,6.61,Rejected
474,26217,36,8.46,Rejected
475,20242,48,4.63,Rejected
476,21735,12,5.81,Rejected
477,19273,24,6.94,Approved
478,24165,48,8.47,Rejected
479,12491,60,4.09,Approved
480,29765,48,7.38,Rejected
481,21773,60,4.98,Rejected
482,19984,48,5.84,Rejected
483,15260,12,4.94,Approved
484,9523,12,5.21,Approved
485,26491,24,4.74,Approved
486,16513,12,7.0,Rejected
487,16077,24,7.26,Rejected
488,10139,36,7.3,Rejected
489,26315,24,5.53,Rejected
490,19733,12,7.13,Approved
491,15707,12,6.1,Rejected
492,11977,48,8.39,Approved
493,8124,24,5.16,Approved
494,15015,12,5.55,Approved
495,13498,12,5.64,Approved
496,14563,12,8.36,Rejected
497,28258,12,4.73,Approved
498,16457,24,6.11,Approved
499,17132,60,8.49,Rejected
500,10284,36,8.28,Approved
501,24870,12,7.65,Rejected
502,25407,24,5.95,Rejected
503,26731,36,6.34,Rejected
504,12739,24,5.57,Rejected
505,24372,24,6.04,Rejected
506,11195,60,5.63,Approved
507,14180,36,6.53,Rejected
508,21800,36,8.47,Rejected
509,24795,36,5.61,Approved
510,10327,60,6.26,Approved
511,28777,36,5.24,Rejected
512,28947,12,4.04,Approved
513,15334,60,6.65,Rejected
514,26783,36,6.22,Approved
515,21866,12,8.4,Rejected
516,25887,48,4.71,Approved
517,9241,36,4.22,Approved
518,22796,12,6.15,Rejected
519,21379,48,4.51,Approved
520,12882,60,8.02,Rejected
521,27569,60,5.05,Rejected
522,9397,24,4.55,Approved
523,9585,12,4.91,Rejected
524,24747,12,6.16,Approved
525,12706,36,4.15,Rejected
526,22654,36,4.31,Approved
527,9217,36,5.95,Approved
528,16574,48,7.75,Rejected
529,12887,48,7.09,Approved
530,23137,60,6.75,Approved
531,19718,36,6.0,Rejected
532,20848,60,7.32,Rejected
533,24852,60,8.5,Rejected
534,16539,48,6.64,Approved
535,23654,48,6.16,Approved
536,23082,12,4.69,Rejected
537,23444,12,5.22,Approved
538,29782,48,5.59,Approved
539,24436,60,6.22,Rejected
540,26402,60,4.74,Rejected
541,15798,60,4.93,Rejected
542,26144,24,7.45,Rejected
543,8819,48,6.49,Approved
544,12737,48,6.78,Rejected
545,15999,36,8.27,Rejected
546,23864,24,5.31,Rejected
547,14860,48,7.64,Rejected
548,13115,48,6.86,Approved
549,15477,60,4.58,Approved
550,24480,12,4.1,Rejected
551,13703,60,4.2,Rejected
552,13765,12,8.19,Approved
553,9876,24,6.41,Rejected
554,25682,48,6.38,Rejected
555,27127,12,5.28,Rejected
556,10141,48,5.35,Approved
557,10123,60,6.12,Approved
558,28170,36,5.69,Rejected
559,23298,12,7.55,Rejected
560,11413,48,8.13,Approved
561,17248,24,5.41,Rejected
562,20533,48,4.48,Rejected
563,24126,48,7.41,Approved
564,22623,24,8.08,Approved
565,17845,24,8.45,Approved
566,16904,36,6.9,Approved
567,21910,12,8.12,Rejected
568,18023,60,6.93,Approved
569,22755,12,8.37,Approved
570,19312,36,4.2,Rejected
571,21815,12,5.91,Approved
572,26534,60,7.21,Approved
573,23164,60,5.91,Rejected
574,28881,36,6.69,Approved
575,8445,60,6.27,Rejected
576,13114,48,5.4,Rejected
577,15289,36,5.73,Approved
578,21388,24,4.8,Rejected
579,28784,48,7.43,Approved
580,18772,24,4.91,Rejected
581,19183,48,7.04,Approved
582,29276,48,4.01,Approved
583,14190,36,5.86,Rejected
584,21084,36,4.39,Rejected
585,15585,36,5.25,Rejected
586,26513,60,5.11,Rejected
587,19067,24,7.72,Approved
588,20314,36,4.43,Rejected
589,26794,12,5.12,Approved
590,18562,12,4.19,Rejected
591,22186,60,7.66,Rejected
592,8972,36,8.18,Rejected
593,27073,48,7.51,Rejected
594,26358,60,6.26,Rejected
595,22807,48,5.06,Approved
596,18112,36,4.4,Approved
597,26645,24,4.05,Approved
598,15067,12,4.42,Rejected
599,15658,48,6.37,Approved
600,14666,60,6.12,Rejected
601,24054,36,5.9,Rejected
602,19223,60,7.3,Approved
603,17291,24,4.54,Approved
604,25083,60,4.87,Approved
605,8758,24,6.91,Rejected
606,27136,48,5.75,Rejected
607,24370,24,5.28,Approved
608,9803,12,6.74,Approved
609,15889,60,6.6,Rejected
610,27357,48,7.49,Rejected
611,26084,48,6.6,Approved
612,18361,48,4.25,Approved
613,23464,60,6.01,Approved
614,14440,60,7.69,Approved
615,28829,60,4.05,Approved
616,26806,48,4.3,Approved
617,25193,24,5.34,Rejected
618,17645,36,7.95,Rejected
619,20705,60,8.34,Rejected
620,26384,48,7.33,Approved
621,12617,60,8.44,Approved
622,9888,24,6.52,Approved
160,19848,24,7.55,Rejected
623,15373,48,4.08,Approved
624,16656,24,4.64,Rejected
625,12642,24,7.19,Approved
626,21049,36,5.55,Rejected
627,23223,36,8.28,Approved
628,22087,36,5.8,Rejected
629,23991,24,4.85,Rejected
630,8708,24,7.18,Rejected
631,28311,60,5.16,Rejected
632,25395,24,4.52,Approved
633,9000,60,7.16,Rejected
634,13512,60,6.58,Rejected
635,19322,24,4.94,Approved
636,26133,12,7.32,Approved
637,22992,24,5.06,Rejected
638,21637,24,4.18,Rejected
639,8636,12,4.99,Rejected
640,9112,36,5.14,Approved
641,13163,36,6.54,Rejected
642,9275,36,6.4,Approved
643,26601,36,7.3,Rejected
644,9516,12,7.43,Rejected
645,23034,60,5.9,Rejected
646,22158,60,4.72,Rejected
647,20334,24,8.15,Approved
648,23896,48,6.18,Approved
649,17142,12,8.41,Approved
650,8276,12,7.6,Approved
651,20029,12,4.62,Approved
652,19168,48,6.11,Approved
653,18027,36,7.18,Approved
654,22077,12,8.05,Rejected
655,22461,24,7.43,Approved
656,21409,60,4.57,Approved
657,16399,48,5.83,Rejected
658,29868,48,5.63,Approved
659,22347,12,5.93,Approved
660,22868,24,4.32,Rejected
661,20085,48,7.59,Approved
662,8903,48,6.01,Approved
663,11690,60,7.54,Approved
664,18003,24,6.27,Approved
665,21548,60,6.24,Approved
666,11445,24,6.48,Rejected
667,19568,48,7.09,Rejected
668,25024,12,4.47,Rejected
669,10653,48,7.47,Approved
670,15836,24,8.35,Rejected
671,27335,12,5.69,Approved
672,28005,48,8.46,Approved
673,14317,36,8.24,Approved
674,29535,60,7.89,Rejected
675,10492,36,8.38,Rejected
676,12932,12,7.46,Rejected
677,14426,24,4.98,Approved
678,22693,48,8.04,Rejected
679,14674,12,6.12,Approved
680,18133,48,7.28,Rejected
681,15986,36,4.89,Approved
682,27184,12,4.7,Approved
683,11479,60,6.13,Approved
684,28394,36,6.35,Approved
630,8708,24,7.18,Rejected
685,26354,24,7.49,Rejected
686,11957,24,4.37,Rejected
687,19475,48,4.45,Approved
688,10778,60,5.58,Rejected
689,11185,36,7.11,Approved
690,26651,24,8.41,Rejected
691,28586,36,5.72,Rejected
692,22098,24,4.93,Rejected
693,23319,24,5.79,Rejected
694,22002,12,6.0,Rejected
695,20348,60,6.64,Rejected
696,20150,48,7.45,Approved
697,15899,24,7.04,Approved
698,25334,36,4.59,Approved
699,28793,24,6.11,Rejected
700,14023,36,7.7,Rejected
701,9901,36,7.64,Approved
702,23057,12,6.03,Approved
703,15913,60,4.06,Approved
704,10825,48,5.89,Rejected
705,8232,60,5.99,Rejected
706,22794,24,6.49,Rejected
707,14924,60,4.38,Approved
708,13231,36,4.55,Approved
709,11961,60,8.04,Approved
710,14104,36,4.3,Rejected
711,24075,60,8.22,Approved
712,17126,36,4.64,Rejected
713,19249,12,6.17,Rejected
714,20575,36,6.15,Approved
715,13184,48,7.41,Rejected
716,27139,36,7.56,Rejected
717,17960,12,7.32,Approved
718,23222,60,4.33,Rejected
719,23273,24,8.28,Rejected
720,26513,60,4.29,Rejected
721,12911,12,7.31,Rejected
722,18822,60,5.67,Rejected
723,10632,36,7.69,Rejected
724,9634,24,8.31,Rejected
725,19547,48,5.47,Rejected
726,21142,24,6.96,Rejected
727,8186,24,7.74,Approved
728,25287,24,6.81,Rejected
501,24870,12,7.65,Rejected
729,12734,36,6.01,Approved
730,14823,60,5.63,Rejected
731,20172,36,5.63,Rejected
732,27452,60,6.68,Rejected
733,25703,60,7.65,Approved
734,21850,24,7.32,Rejected
735,29780,48,7.82,Rejected
736,21084,48,7.58,Approved
737,28191,24,6.97,Approved
738,10821,36,7.62,Rejected
739,12826,36,7.33,Approved
740,28215,12,4.1,Approved
741,9178,60,7.5,Approved
742,14374,60,5.14,Rejected
743,21460,60,6.34,Approved
744,10844,12,7.52,Approved
745,14174,48,7.21,Rejected
746,29578,60,5.83,Rejected
747,23332,12,5.9,Rejected
748,9114,24,6.23,Rejected
749,28497,24,8.28,Approved
750,24184,36,5.09,Rejected
751,20370,36,6.87,Approved
752,25683,12,5.44,Approved
753,25248,36,7.09,Rejected
754,17837,24,5.51,Approved
755,27780,36,7.76,Approved
756,14454,48,5.15,Approved
757,19056,48,7.5,Approved
758,29698,12,7.97,Approved
759,11293,12,8.05,Approved
760,17207,24,4.69,Approved
761,17795,60,7.59,Rejected
762,8040,48,7.38,Rejected
763,15979,60,7.44,Rejected
764,26699,24,5.8,Approved
765,14650,24,6.26,Approved
766,29466,36,4.77,Approved
767,11058,60,5.47,Approved
768,16148,48,7.87,Approved
769,28903,36,7.6,Rejected
770,17932,12,7.57,Approved
771,13126,36,7.59,Approved
772,9194,36,5.18,Rejected
773,18209,24,4.4,Rejected
774,25023,12,5.39,Approved
775,17345,36,7.12,Rejected
776,14206,48,7.77,Rejected
777,20805,12,6.29,Approved
778,19131,48,5.15,Rejected
779,8545,60,4.98,Rejected
780,11924,24,6.33,Rejected
781,8408,60,8.15,Rejected
782,23943,12,5.22,Approved
783,26762,36,7.06,Rejected
784,12950,36,5.21,Approved
785,16308,36,7.1,Approved
786,16754,24,6.34,Approved
787,25821,36,6.12,Rejected
788,16856,36,7.38,Rejected
789,21705,60,4.11,Rejected
790,24272,48,8.16,Rejected
791,8594,60,4.43,Approved
792,14405,24,6.8,Rejected
793,23932,60,7.52,Rejected
794,25622,60,4.13,Approved
795,10602,48,4.36,Approved
796,9531,60,6.22,Approved
797,15977,12,7.54,Rejected
798,29773,24,5.68,Approved
799,18262,60,7.89,Approved
800,27199,36,7.71,Approved
801,10448,48,4.33,Approved
802,11555,60,4.78,Approved
803,24590,12,7.08,Rejected
804,16024,24,6.92,Approved
805,11727,60,4.75,Rejected
806,13900,24,8.38,Approved
807,10886,60,8.1,Approved
808,13511,12,6.22,Approved
809,25042,36,8.33,Rejected
810,22406,12,6.22,Approved
811,20491,24,7.88,Approved
812,29579,24,5.27,Rejected
813,10338,48,4.16,Approved
98,14888,48,5.42,Approved
814,19478,12,4.98,Approved
815,23119,48,4.89,Approved
816,16479,60,6.28,Rejected
817,28500,60,7.21,Approved
818,13737,48,8.09,Rejected
819,24061,48,8.23,Approved
820,14855,12,7.24,Approved
821,9181,12,5.09,Rejected
822,13788,12,7.94,Rejected
823,22311,36,5.65,Approved
824,23754,60,8.13,Approved
825,14086,48,8.04,Rejected
826,29621,48,5.24,Approved
827,15386,24,6.22,Rejected
828,8688,60,6.94,Rejected
829,11560,12,7.23,Approved
830,18259,60,5.18,Approved
831,25433,12,6.01,Approved
832,10858,24,5.06,Rejected
833,18440,12,4.22,Approved
834,21048,12,5.75,Approved
835,8258,36,6.52,Approved
836,10297,48,5.21,Rejected
837,22858,12,4.33,Rejected
838,18161,60,4.36,Approved
839,26789,60,5.09,Rejected
840,24500,12,6.11,Approved
841,21104,24,5.59,Approved
842,24109,24,4.04,Rejected
843,17517,12,7.53,Rejected
844,15248,48,6.65,Rejected
845,8804,36,4.48,Approved
846,29964,24,4.86,Approved
847,16562,48,5.02,Approved
848,29731,36,5.53,Rejected
849,27951,24,7.45,Rejected
850,18404,36,6.82,Rejected
851,23243,12,6.43,Approved
852,23831,12,4.81,Rejected
853,18075,24,6.01,Rejected
854,27427,60,8.45,Rejected
855,8768,36,6.63,Rejected
856,13778,48,7.3,Approved
857,11142,60,5.4,Rejected
858,26697,24,4.57,Approved
859,8217,24,5.52,Rejected
860,25143,60,8.28,Rejected
861,10104,24,6.88,Rejected
862,19336,24,4.98,Rejected
863,13077,24,5.94,Rejected
864,9391,12,5.29,Rejected
865,24571,60,6.83,Rejected
866,12159,60,6.25,Approved
867,17177,12,7.91,Rejected
868,23275,12,5.55,Rejected
869,16296,60,7.75,Rejected
870,23010,24,5.59,Approved
871,14729,48,8.15,Approved
872,20365,48,7.35,Approved
873,28107,48,8.03,Approved
874,27818,12,4.05,Approved
875,28091,12,5.55,Rejected
876,17625,12,5.31,Approved
877,16654,24,5.47,Rejected
878,16857,24,8.06,Approved
879,28657,24,5.71,Approved
880,15714,12,5.4,Rejected
881,11074,24,5.13,Approved
882,28159,48,8.3,Rejected
883,10969,48,7.8,Rejected
884,17651,48,7.0,Approved
